music_id,song_id,chart_rank,popularity_score
1,1,1,79
2,2,1,79
3,3,2,92
4,4,3,85
5,5,3,85
6,6,4,86
7,7,4,86
8,8,4,86
9,9,4,86
10,10,5,94
11,11,5,94
12,12,6,84
13,13,6,84
14,14,6,84
15,15,6,84
16,16,7,92
17,17,8,90
18,18,9,87
19,19,9,87
20,20,10,95
21,21,10,95
22,22,11,93
23,23,12,86
24,24,13,88
25,25,14,87
26,26,14,87
27,27,15,92
28,28,16,82
29,29,17,90
30,30,17,90
31,31,18,91
32,32,18,91
33,33,19,88
34,34,20,91
35,35,21,91
36,36,22,91
37,37,22,91
38,38,23,83
39,39,24,91
40,40,25,89
41,41,25,89
42,42,26,70
43,43,26,70
44,44,27,83
45,45,28,89
46,46,29,91
47,47,30,89
48,48,30,89
49,49,31,84
50,50,31,84
51,51,32,89
52,52,32,89
53,53,33,89
54,54,34,89
55,55,35,89
56,56,36,89
57,57,37,91
58,58,37,91
59,59,38,87
60,60,38,87
61,61,38,87
62,62,38,87
63,63,39,80
64,64,40,78
65,65,41,88
66,66,42,90
67,67,43,87
68,68,44,84
69,69,45,88
70,70,46,88
71,71,46,88
72,72,47,88
73,73,48,88
74,74,48,88
75,75,49,88
76,76,49,88
77,77,50,82
78,78,50,82
79,79,50,82
80,80,50,82
